d1	d2	d3	d4	d5	d6
研究するって面白い!	伊藤　由佳理	岩波書店, 	岩波ジュニア新書	402.1 ｲﾄ  新書書架	ISBN: 9784-005008414 RGTN: 48683 受入日: 20161028
紛争・対立・暴力	西崎 文子編著，武内 進一編著	岩波書店, 	岩波ジュニア新書　知の航海シリーズ	319 ﾆｼ  新書書架	ISBN: 9784-005008421 RGTN: 48684 受入日: 20161028
期待はずれのドラフト1位	元永　知宏	岩波書店, 	岩波ジュニア新書	783.7 ﾓﾄ  新書書架	ISBN: 9784-005008438 RGTN: 48685 受入日: 20161028
経済学のすすめ	佐和　隆光	岩波書店, 	岩波新書	331 ｻﾜ  新書書架	ISBN: 9784-004316220 RGTN: 48686 受入日: 20161028
魚と日本人	\xFBM田　武士	岩波書店, 	岩波新書	661 ﾊﾏ  新書書架	ISBN: 9784-004316237 RGTN: 48687 受入日: 20161028
ルポ難民追跡 : バルカンルートを行く	坂口裕彦 著	岩波書店, 	岩波新書 新赤版 ; 1624	369.3 ｻｶ  新書書架	ISBN: 9784-004316244 RGTN: 48688 受入日: 20161028
弘法大師空海と出会う	川崎　一洋	岩波書店, 	岩波新書	188.5 ｶﾜ  新書書架	ISBN: 9784-004316251 RGTN: 48689 受入日: 20161028
読書と日本人	津野　海太郎	岩波書店, 	岩波新書	019 ﾂﾉ  新書書架	ISBN: 9784-004316268 RGTN: 48690 受入日: 20161028
宇宙は「もつれ」でできている	ルイーザ・ギルダー著　山田 克哉監訳　窪田 恭子訳	講談社, 	ブルーバックス	421.3 ｷﾞﾙ  新書書架	ISBN: 9784-062579810 RGTN: 48691 受入日: 20161028
怖いくらい通じるカタカナ英語の法則	池谷　裕二	講談社, 	ブルーバックス	831.1 ｲｹ  新書書架	ISBN: 9784-062579872 RGTN: 48692 受入日: 20161027
40歳からの「認知症予防」入門	伊古田　俊夫	講談社, 	ブルーバックス	493.7 ｲｺ  新書書架	ISBN: 9784-062579889 RGTN: 48693 受入日: 20161027
入門者のLinux	奈佐原　顕郎	講談社, 	ブルーバックス	007.6 ﾅｻ  新書書架	ISBN: 9784-062579896 RGTN: 48694 受入日: 20161027
語彙・読解力検定公式テキスト合格力養成BOOK2級  	朝日新聞社編・著，ベネッセコーポレーション編・著 	朝日新聞社, 		814 ア  一般書架	ISBN: 9784-021101243 RGTN: 48695 受入日: 20161104
語彙・読解力検定公式テキスト合格力養成BOOK準2級  	朝日新聞社編・著，ベネッセコーポレーション編・著 	朝日新聞社, 		814 ア  一般書架	ISBN: 9784-021101250 RGTN: 48696 受入日: 20161104
語彙・読解力検定公式テキスト合格力養成BOOK3級 	朝日新聞社編・著，ベネッセコーポレーション編・著 	朝日新聞社, 		814 ア  一般書架	ISBN: 9784-021101311 RGTN: 48697 受入日: 20161104
英検1級過去6回全問題集CD 2016年度版 	旺文社	旺文社, 	旺文社英検書	830.7 オ  一般書架	ISBN: 9784-010948101 RGTN: 48698 受入日: 20161108
英検準1級過去6回全問題集CD 2016年度版     	旺文社	旺文社, 	旺文社英検書	830.7 オ  一般書架	ISBN: 9784-010948118 RGTN: 48699 受入日: 20161108
英検２級過去６回全問題集ＣＤ２０１６年	旺文社	旺文社, 	旺文社英検書	830.7 オ  一般書架	ISBN: 9784-010948125 RGTN: 48700 受入日: 20161108
英検準2級過去6回全問題集CD 2016年度版  英検準2級過去6回全問題集CD 2016年度版	旺文社	旺文社, 	旺文社英検書	830.7 オ  一般書架	ISBN: 9784-010948132 RGTN: 48701 受入日: 20161108
英検3級過去6回全問題集CD 2016年度版	旺文社	旺文社, 	旺文社英検書	830.7 オ  一般書架	ISBN: 9784-010948149 RGTN: 48702 受入日: 20161108
Ｔｈｅ　ＭＡＮＺＡＩ　1　ザ　マンザイ	あさの　あつこ	ポプラ社, 	ポプラ文庫ピュアフル	913.6 ｱｻ 1 西高100冊	ISBN: 9784-591113721 RGTN: 48703 受入日: 20161108
Ｔｈｅ　ＭＡＮＺＡＩ ２ ザ マンザイ	あさの　あつこ	ポプラ社, 	ポプラ文庫ピュアフル	913.6 ｱｻ 2 西高100冊	ISBN: 9784-591113738 RGTN: 48704 受入日: 20161108
The manzai. 5	あさのあつこ [著]	ポプラ社, 	ポプラ文庫ピュアフル ; あ-1-9	913.6 ｱｻ 5 文庫書架	ISBN: 9784-591114322 RGTN: 48705 受入日: 20161108
漢検過去問題集2級　平成28年度版  		日本漢字能力検定協会　 , 		811.2 ニ  一般書架	ISBN: 9784-890963416 RGTN: 48706 受入日: 20161109
漢検過去問題集準2級　平成28年度版  		日本漢字能力検定協会　 , 		811.2 ニ  一般書架	ISBN: 9784-890963423 RGTN: 48707 受入日: 20161109
漢検過去問題集3級　平成28年度版  		日本漢字能力検定協会　 , 		811.2 ニ  一般書架	ISBN: 9784-890963430 RGTN: 48708 受入日: 20161109
漢検2級分野別問題集　改訂二版		日本漢字能力検定協会, 		811.2 ニ  一般書架	ISBN: 9784-890962266 RGTN: 48709 受入日: 20161109
漢検準2級分野別問題集  改訂版		日本漢字能力検定協会　 , 		811.2 ニ  一般書架	ISBN: 9784-890962273 RGTN: 48710 受入日: 20161109
漢検3級分野別問題集 　改訂二版		日本漢字能力検定協会, 		811.2 ニ  一般書架	ISBN: 9784-890962280 RGTN: 48711 受入日: 20161109
漢検2級漢字学習ステップ  改訂三版		日本漢字能力検定協会, 		811.2 ニ  一般書架	ISBN: 9784-890962167 RGTN: 48712 受入日: 20161109
漢検準2級漢字学習ステップ  改訂二版		日本漢字能力検定協会　 , 		811.2 ニ  一般書架	ISBN: 9784-890962174 RGTN: 48713 受入日: 20161109
漢検3級漢字学習ステップ  改訂三版		日本漢字能力検定協会　 , 		811.2 ニ  一般書架	ISBN: 9784-890962181 RGTN: 48714 受入日: 20161109
頻出度順漢字検定2級合格!問題集　平成28年版  	漢字学習教育推進研究会編 	新星出版社, 		811.2 カ  一般書架	ISBN: 9784-405048683 RGTN: 48715 受入日: 20161110
頻出度順漢字検定準2級合格!問題集　平成28年版 	漢字学習教育推進研究会編 	新星出版社, 		811.2 カ  一般書架	ISBN: 9784-405048690 RGTN: 48716 受入日: 20161110
頻出度順漢字検定3級合格!問題集　平成28年版	漢字学習教育推進研究会編 	新星出版社, 		811.2 カ  一般書架	ISBN: 9784-405048706 RGTN: 48717 受入日: 20161110
分野別漢検でる順問題集2級  新装四訂版		旺文社, 		811.2 オ  一般書架	ISBN: 9784-010924105 RGTN: 48718 受入日: 20161110
分野別漢検でる順問題集準2級  新装四訂版		旺文社, 		811.2 オ  一般書架	ISBN: 9784-010924112 RGTN: 48719 受入日: 20161110
分野別漢検でる順問題集3級  新装四訂版		旺文社, 		811.2 オ  一般書架	ISBN: 9784-010924129 RGTN: 48720 受入日: 20161110
語彙・読解力検定公式テキスト合格力養成BOOK2級  	朝日新聞社編・著，ベネッセコーポレーション編・著 	朝日新聞社, 		814 ア  一般書架	ISBN: 9784-021101243 RGTN: 48721 受入日: 20161115
語彙・読解力検定公式テキスト合格力養成BOOK準2級  	朝日新聞社編・著，ベネッセコーポレーション編・著 	朝日新聞社, 		814 ア  一般書架	ISBN: 9784-021101250 RGTN: 48722 受入日: 20161115
語彙・読解力検定公式テキスト合格力養成BOOK準1級 改訂２版 	朝日新聞社編・著，ベネッセコーポレーション編・著 	朝日新聞社, 		814 ア  一般書架	ISBN: 9784-021101151 RGTN: 48723 受入日: 20161115
日本語検定公式練習問題集2級  3訂版	日本語検定委員会編 	東京書籍, 		810.7 ニ  一般書架	ISBN: 9784-487809929 RGTN: 48724 受入日: 20161115
日本語検定公式練習問題集3級  3訂版	日本語検定委員会編 	東京書籍, 		810.7 ニ  一般書架	ISBN: 9784-487809936 RGTN: 48725 受入日: 20161115
漢検四字熟語辞典  第２版	日本漢字能力検定協会編	日本漢字能力検定協会, 		813.4 ニ  一般書架	ISBN: 9784-890962631 RGTN: 48726 受入日: 20161115
口遊み　第2章	椿　ハナ	主婦の友社, 		913.6 ﾂﾊﾞ  一般書架	ISBN: 9784-072805602 RGTN: 48727 受入日: 20161125
相模原事件とヘイトクライム	保坂展人著	岩波書店, 	岩波ブックレット  No. 959	369.2 ﾎｻ  ブックレット	ISBN: 9784-002709598 RGTN: 48728 受入日: 20161122
「環境を守る」とはどういうことか : 環境思想入門	尾関周二 環境思想・教育研究会 編	岩波書店, 	岩波ブックレット ; No.960	519 ｵｾﾞ  ブックレット	ISBN: 9784-002709604 RGTN: 48729 受入日: 20161125
新しい学力	齋藤　孝	岩波書店, 	岩波新書	370.4 ｻｲ  新書書架	ISBN: 9784-004316282 RGTN: 48730 受入日: 20161125
密着最高裁のしごと	川名　壮志	岩波書店, 	岩波新書	327.1 ｶﾜ  新書書架	ISBN: 9784-004316299 RGTN: 48731 受入日: 20161125
パブリック・スクール : イギリス的紳士・淑女のつくられかた	新井潤美 著	岩波書店, 	岩波新書 新赤版 ; 1630	372.3 ｱﾗ  新書書架	ISBN: 9784-004316305 RGTN: 48732 受入日: 20161125
夏目漱石	十川　信介	岩波書店, 	岩波新書	910.2 ﾄｶﾞ  新書書架	ISBN: 9784-004316312 RGTN: 48733 受入日: 20161125
上手な脳の使いかた	岩田　誠	岩波書店, 	岩波ジュニア新書	491.3 ｲﾜ  新書書架	ISBN: 9784-005008445 RGTN: 48734 受入日: 20161125
経済数学の直観的方法　確率・統計編	長沼　伸一郎	講談社, 	ブルーバックス	331.1 ﾅｶﾞ  新書書架	ISBN: 9784-062579858 RGTN: 48735 受入日: 20161122
カラー図解進化の教科書　第１巻	カール・ジンマー著，ダグラス・J.エムレン著，更科 功訳，石川 牧子訳，国友 良樹訳	講談社, 	ブルーバックス	467.5 ｼﾞﾝ 1 新書書架	ISBN: 9784-062579902 RGTN: 48736 受入日: 20161122
つながる脳科学	理化学研究所脳科学総合研究センター編	講談社, 	ブルーバックス	491.3 ﾘｶ  新書書架	ISBN: 9784-062579940 RGTN: 48737 受入日: 20161122
女も男も生きやすい国、スウェーデン	三瓶恵子 著	岩波書店, 	岩波ジュニア新書 ; 846	367.2 ｻﾝ  新書書架	ISBN: 9784-005008469 RGTN: 48738 受入日: 20170316
シルバー・デモクラシー 戦後世代の覚悟と責任	寺島 実郎／著	岩波書店, 	岩波新書　新赤版 １６１０	312.1 ﾃﾗ  新書書架	ISBN: 9784-004316107 RGTN: 48739 受入日: 20170316
キャスターという仕事	国谷 裕子／著	岩波書店, 	岩波新書　新赤版 １６３６	699.3 ｸﾆ  新書書架	ISBN: 9784-004316367 RGTN: 48740 受入日: 20170316
ロシア革命 破局の８か月	池田 嘉郎／著	岩波書店, 	岩波新書　新赤版 １６３７	238 ｲｹ  新書書架	ISBN: 9784-004316374 RGTN: 48741 受入日: 20170316
独占禁止法 国際標準の競争法へ 新版	村上 政博／著	岩波書店, 	岩波新書　新赤版 １６３８	335.5 ﾑﾗ  新書書架	ISBN: 9784-004316381 RGTN: 48742 受入日: 20170316
共生保障 〈支え合い〉の戦略	宮本 太郎／著	岩波書店, 	岩波新書　新赤版 １６３９	364 ﾐ  学研小論文	ISBN: 9784-004316398 RGTN: 48743 受入日: 20170316
対話する社会へ	暉峻 淑子／著	岩波書店, 	岩波新書　新赤版 １６４０	361.4 ﾃ  学研小論文	ISBN: 9784-004316404 RGTN: 48744 受入日: 20170316
文庫解説ワンダーランド	斎藤 美奈子／著	岩波書店, 	岩波新書　新赤版 １６４１	019.9 ｻｲ  新書書架	ISBN: 9784-004316411 RGTN: 48745 受入日: 20170316
落語と歩く	田中 敦／著	岩波書店, 	岩波新書　新赤版 １６４２	779.1 ﾀﾅ  新書書架	ISBN: 9784-004316428 RGTN: 48746 受入日: 20170316
文明は〈見えない世界〉がつくる	松井 孝典／著	岩波書店, 	岩波新書　新赤版 １６４３	402 ﾏﾂ  新書書架	ISBN: 9784-004316435 RGTN: 48747 受入日: 20170316
カラー図解進化の教科書. 第2巻	カール・ジンマー ダグラス・J・エムレン 著、更科功 石川牧子 国友良樹 訳	講談社, 	ブルーバックス ; B-1991	467.5 ｼﾞﾝ 2 新書書架	ISBN: 9784-062579919 RGTN: 48748 受入日: 20170316
カラー図解Ｅｘｃｅｌ「超」効率化マニュアル 面倒な入力作業を楽にする	立山 秀利／著	講談社, 	ブルーバックス Ｂ－１９９９	007.6 ﾀﾃ  新書書架	ISBN: 9784-062579995 RGTN: 48749 受入日: 20170316
日本列島１００万年史 大地に刻まれた壮大な物語	山崎 晴雄／著 久保 純子／著	講談社, 	ブルーバックス Ｂ－２０００	454.9 ﾔﾏ  新書書架	ISBN: 9784-065020005 RGTN: 48750 受入日: 20170316
人工知能はいかにして強くなるのか? : 対戦型AIで学ぶ基本のしくみ	小野田博一 著	講談社, 	ブルーバックス ; B-2001	007.1 ｵﾉ  新書書架	ISBN: 9784-065020012 RGTN: 48751 受入日: 20170316
アメリカは日本の原子力政策をどうみているか	鈴木 達治郎／編 猿田 佐世／編	岩波書店, 	岩波ブックレット  No. 958	539 ｽｽﾞ  ブックレット	ISBN: 9784-002709581 RGTN: 48752 受入日: 20170316
新国富論 新たな経済指標で地方創生	馬奈木 俊介／著 池田 真也／著 中村 寛樹／著	岩波書店, 	岩波ブックレット Ｎｏ．９６１	331.8 ﾏﾅ  ブックレット	ISBN: 9784-002709611 RGTN: 48753 受入日: 20170316
方言萌え！？ ヴァーチャル方言を読み解く	田中 ゆかり／著	岩波書店, 	岩波ジュニア新書 ８４５	818 ﾀﾅ  新書書架	ISBN: 9784-005008452 RGTN: 48754 受入日: 20170316
読んじゃいなよ！ 明治学院大学国際学部高橋源一郎ゼミで岩波新書をよむ	高橋 源一郎／編	岩波書店, 	岩波新書　新赤版 １６２７	019.2 ﾀｶ  新書書架	ISBN: 9784-004316275 RGTN: 48755 受入日: 20170316
悩みいろいろ 人生に効く物語５０	金子 勝／著	岩波書店, 	岩波新書　新赤版 １６３２	159 ｶﾈ  新書書架	ISBN: 9784-004316329 RGTN: 48756 受入日: 20170316
漱石のこころ その哲学と文学	赤木 昭夫／著	岩波書店, 	岩波新書　新赤版 １６３３	910.2 ｱｶ  新書書架	ISBN: 9784-004316336 RGTN: 48757 受入日: 20170316
俳句世がたり	小沢信男著	岩波書店, 	岩波新書  新赤版 1634	911.3 ｵｻﾞ  新書書架	ISBN: 9784-004316343 RGTN: 48758 受入日: 20170316
パウロ 十字架の使徒	青野 太潮／著	岩波書店, 	岩波新書　新赤版 １６３５	192.8 ﾊ  新書書架	ISBN: 9784-004316350 RGTN: 48759 受入日: 20170316
チーズの科学 ミルクの力、発酵・熟成の神秘	斎藤 忠夫／著	講談社, 	ブルーバックス Ｂ－１９９３	648.1 ｻｲ  新書書架	ISBN: 9784-062579933 RGTN: 48760 受入日: 20170316
活断層地震はどこまで予測できるか 日本列島で今起きていること	遠田 晋次／著	講談社, 	ブルーバックス Ｂ－１９９５	453.4 ﾄｵ  新書書架	ISBN: 9784-062579957 RGTN: 48761 受入日: 20170316
体の中の異物「毒」の科学 ふつうの食べものに含まれる危ない物質	小城 勝相／著	講談社, 	ブルーバックス Ｂ－１９９６	491.5 ｺｼﾞ  新書書架	ISBN: 9784-062579964 RGTN: 48762 受入日: 20170316
欧米人とはこんなに違った日本人の「体質」 科学的事実が教える正しいがん・生活習慣病予防	奥田 昌子／著	講談社, 	ブルーバックス Ｂ－１９９７	491.6 ｵｸ  新書書架	ISBN: 9784-062579971 RGTN: 48763 受入日: 20170316
「超」入門ベイズ統計 結果から原因を推理する	石村 貞夫／著	講談社, 	ブルーバックス Ｂ－１９９８	417 ｲｼ  新書書架	ISBN: 9784-062579988 RGTN: 48764 受入日: 20170316
王様でたどるイギリス史	池上 俊一／著	岩波書店, 	岩波ジュニア新書 ８４７	288.4 ｲｹ  新書書架	ISBN: 9784-005008476 RGTN: 48765 受入日: 20170410
憲法改正とは何だろうか	高見 勝利／著	岩波書店, 	岩波新書　新赤版 １６４５	323.1 ﾀｶ  新書書架	ISBN: 9784-004316459 RGTN: 48766 受入日: 20170410
裁判の非情と人情	原田 国男／著	岩波書店, 	岩波新書　新赤版 １６４６	327.6 ﾊﾗ  新書書架	ISBN: 9784-004316466 RGTN: 48767 受入日: 20170410
人びとの自然再生 歩く、見る、聞く	宮内 泰介／著	岩波書店, 	岩波新書　新赤版 １６４７	361.7 ﾋ  学研小論文	ISBN: 9784-004316473 RGTN: 48768 受入日: 20170410
系外惑星と太陽系	井田茂 著	岩波書店, 	岩波新書 新赤版 ; 1648	445 ｲﾀﾞ  新書書架	ISBN: 9784-004316480 RGTN: 48769 受入日: 20170410
北原白秋 : 言葉の魔術師	今野真二著	岩波書店, 	岩波新書  新赤版 1649	911.5 ｺﾝ  新書書架	ISBN: 9784-004316497 RGTN: 48770 受入日: 20170410
３．１１を心に刻んで ２０１７	岩波書店編集部／編	岩波書店, 	岩波ブックレット Ｎｏ．９６３	369.3 ｲﾜ  ブックレット	ISBN: 9784-002709635 RGTN: 48771 受入日: 20170410
地学ノススメ 「日本列島のいま」を知るために	鎌田 浩毅／著	講談社, 	ブルーバックス Ｂ－２００２	450 ｶﾏ  新書書架	ISBN: 9784-065020029 RGTN: 48772 受入日: 20170410
素数はめぐる 循環小数で語る数論の世界	西来路文朗著 清水健一著	講談社, 	ブルーバックス Ｂ－２００３	412 ｻｲ  新書書架	ISBN: 9784-065020036 RGTN: 48773 受入日: 20170410
人類と気候の１０万年史 過去に何が起きたのか、これから何が起こるのか	中川 毅／著	講談社, 	ブルーバックス Ｂ－２００４	451.8 ﾅｶ  新書書架	ISBN: 9784-065020043 RGTN: 48774 受入日: 20170410
ランニングする前に読む本 最短で結果を出す科学的トレーニング	田中 宏暁／著	講談社, 	ブルーバックス Ｂ－２００５	782.3 ﾀﾅ  新書書架	ISBN: 9784-065020050 RGTN: 48775 受入日: 20170410
宇宙に「終わり」はあるのか 最新宇宙論が描く、誕生から「１０の１００乗年」後まで	吉田 伸夫／著	講談社, 	ブルーバックス Ｂ－２００６	443.9 ﾖｼ  新書書架	ISBN: 9784-065020067 RGTN: 48776 受入日: 20170410
ブルーバックス科学手帳２０１７		講談社, 		403 ﾌﾞ  図書室	ISBN: 9784-062204897 RGTN: 48777 受入日: 20170316
財政から読みとく日本社会 : 君たちの未来のために	井手英策 著	岩波書店, 	岩波ジュニア新書 ; 848	342.1 ｲﾃﾞ  新書書架	ISBN: 9784-005008483 RGTN: 48778 受入日: 20170412
正しいコピペのすすめ 模倣、創造、著作権と私たち	宮武 久佳／著	岩波書店, 	岩波ジュニア新書 ８４９	021.2 ﾐﾔ  新書書架	ISBN: 9784-005008490 RGTN: 48779 受入日: 20170412
日本の近代とは何であったか 問題史的考察	三谷 太一郎／著	岩波書店, 	岩波新書　新赤版 １６５０	210.6 ﾐﾀ  新書書架	ISBN: 9784-004316503 RGTN: 48780 受入日: 20170412
シリア情勢 終わらない人道危機	青山 弘之／著	岩波書店, 	岩波新書　新赤版 １６５１	302.2 ｱｵ  新書書架	ISBN: 9784-004316510 RGTN: 48781 受入日: 20170412
中国のフロンティア 揺れ動く境界から考える	川島 真／著	岩波書店, 	岩波新書　新赤版 １６５２	319.2 ｶﾜ  新書書架	ISBN: 9784-004316527 RGTN: 48782 受入日: 20170412
グローバル・ジャーナリズム 国際スクープの舞台裏	沢 康臣／著	岩波書店, 	岩波新書　新赤版 １６５３	070 ｻﾜ  新書書架	ISBN: 9784-004316534 RGTN: 48783 受入日: 20170412
モラルの起源 実験社会科学からの問い	亀田 達也／著	岩波書店, 	岩波新書　新赤版 １６５４	361.4 ｶ  学研小論文	ISBN: 9784-004316541 RGTN: 48784 受入日: 20170412
『レ・ミゼラブル』の世界	西永良成著	岩波書店, 	岩波新書　新赤版 １６５５	953.6 ﾆｼ  新書書架	ISBN: 9784-004316558 RGTN: 48785 受入日: 20170412
痛覚のふしぎ 脳で感知する痛みのメカニズム	伊藤 誠二／著	講談社, 	ブルーバックス Ｂ－２００７	491.3 ｲﾄ  新書書架	ISBN: 9784-065020074 RGTN: 48786 受入日: 20170412
地球はなぜ「水の惑星」なのか 水の「起源・分布・循環」から読み解く地球史	唐戸 俊一郎／著	講談社, 	ブルーバックス Ｂ－２００８	450 ｶﾗ  新書書架	ISBN: 9784-065020081 RGTN: 48787 受入日: 20170412
理化学研究所 １００年目の巨大研究機関	山根 一真／著	講談社, 	ブルーバックス Ｂ－２００９	407.6 ﾔﾏ  新書書架	ISBN: 9784-065020098 RGTN: 48788 受入日: 20170412
星に願いを、そして手を。	青羽 悠／著	集英社, 		913.6 ｱｵ  一般書架	ISBN: 9784-087710373 RGTN: 48789 受入日: 20170412
福岡　博多・天神  １７		昭文社, 	まっぷるマガジン 九州 ０２	291.9 ﾌ 2017 一般書架	ISBN: 9784-398278685 RGTN: 48790 受入日: 20170427
長崎ハウステンボス 佐世保・五島  １７		昭文社, 	まっぷるマガジン 九州 ０４	291.9 ﾅ 2017 一般書架	ISBN: 9784-398279354 RGTN: 48791 受入日: 20170427
鹿児島 指宿・霧島  １７－ １８		昭文社, 	まっぷるマガジン 九州 １０	291.9 ｶ 2017 一般書架	ISBN: 9784-398281708 RGTN: 48792 受入日: 20170427
るるぶ福岡 博多天神  １７		ＪＴＢパブリッシング, 	るるぶ情報版 九州 ２	291.9 ﾙ 2017 一般書架	ISBN: 9784-533111990 RGTN: 48793 受入日: 20170427
るるぶ長崎 ハウステンボス佐世保雲仙  １７		ＪＴＢパブリッシング, 	るるぶ情報版 九州 ３	291.9 ﾙ 2017 一般書架	ISBN: 9784-533111136 RGTN: 48794 受入日: 20170427
るるぶ鹿児島 指宿霧島桜島  １７		ＪＴＢパブリッシング, 	るるぶ情報版 九州 ７	291.9 ﾙ 2017 一般書架	ISBN: 9784-533114632 RGTN: 48795 受入日: 20170427
福岡 太宰府 ３版		昭文社, 	ことりっぷ	291.9 ﾌ  一般書架	ISBN: 9784-398155153 RGTN: 48796 受入日: 20170427
長崎 ハウステンボス・五島列島 ３版		昭文社, 	ことりっぷ	291.9 ﾅ  一般書架	ISBN: 9784-398155160 RGTN: 48797 受入日: 20170427
屋久島・鹿児島・霧島 ２版		昭文社, 	ことりっぷ	291.9 ﾔ  一般書架	ISBN: 9784-398154149 RGTN: 48798 受入日: 20170427
福岡 柳川　門司港レトロ 改訂４版		ＪＴＢパブリッシング, 	ココミル 九州 １	291.9 ﾌ  一般書架	ISBN: 9784-533085574 RGTN: 48799 受入日: 20170427
長崎 ハウステンボス 改訂３版		ＪＴＢパブリッシング, 	ココミル 九州 ２	291.9 ﾅ  一般書架	ISBN: 9784-533087202 RGTN: 48800 受入日: 20170427
鹿児島 霧島　指宿　屋久島 改訂４版		ＪＴＢパブリッシング, 	ココミル 九州 ３	291.9 ｶ  一般書架	ISBN: 9784-533085581 RGTN: 48801 受入日: 20170427
福岡 関門海峡・北九州 ４版		昭文社, 	たびまる－今度の旅はまるごと楽しい！－ ２５	291.9 ﾌ  一般書架	ISBN: 9784-398116758 RGTN: 48802 受入日: 20170427
長崎 ４版		昭文社, 	たびまる－今度の旅はまるごと楽しい！－ ２６	291.9 ﾅ  一般書架	ISBN: 9784-398116765 RGTN: 48803 受入日: 20170427
鹿児島・屋久島 奄美大島 ３版		昭文社, 	たびまる－今度の旅はまるごと楽しい！－ ２８	291.9 ｶ  一般書架	ISBN: 9784-398116789 RGTN: 48804 受入日: 20170427
聖徳太子 ほんとうの姿を求めて	東野 治之／著	岩波書店, 	岩波ジュニア新書 ８５０	288.4 ﾄｳ  新書書架	ISBN: 9784-005008506 RGTN: 48805 受入日: 20170501
日本一小さな農業高校の学校づくり 愛農高校、校舎たてかえ顛末記	品田 茂／著	岩波書店, 	岩波ジュニア新書 ８５１	526.3 ｼﾅ  新書書架	ISBN: 9784-005008513 RGTN: 48806 受入日: 20170501
東大留学生ディオンが見たニッポン	ディオン・ン・ジェ・ティン／著	岩波書店, 	岩波ジュニア新書 ８５２	302.1 ﾃﾞｨ  新書書架	ISBN: 9784-005008520 RGTN: 48807 受入日: 20170501
作家的覚書	高村薫著	岩波書店, 	岩波新書  新赤版 1656	914.6 ﾀｶ  新書書架	ISBN: 9784-004316565 RGTN: 48808 受入日: 20170501
ミクロ経済学入門の入門	坂井豊貴 著	岩波書店, 	岩波新書 新赤版 ; 1657	331 ｻｶ  新書書架	ISBN: 9784-004316572 RGTN: 48809 受入日: 20170501
日中漂流 グローバル・パワーはどこへ向かうか	毛里 和子／著	岩波書店, 	岩波新書　新赤版 １６５８	319.1 ﾓｳ  新書書架	ISBN: 9784-004316589 RGTN: 48810 受入日: 20170501
異才、発見！ 枠を飛び出す子どもたち	伊藤 史織／著	岩波書店, 	岩波新書　新赤版 １６５９	371.5 ｲﾄ  新書書架	ISBN: 9784-004316596 RGTN: 48811 受入日: 20170501
正岡子規 : 人生のことば	復本一郎著	岩波書店, 	岩波新書  新赤版 1660	911.3 ﾌｸ  新書書架	ISBN: 9784-004316602 RGTN: 48812 受入日: 20170501
《原爆の図》のある美術館 : 丸木位里、丸木俊の世界を伝える	岡村幸宣 著	岩波書店, 	岩波ブックレット ; No.964	723.1 ｵｶ  ブックレット	ISBN: 9784-002709642 RGTN: 48813 受入日: 20170501
生物はウイルスが進化させた 巨大ウイルスが語る新たな生命像	武村 政春／著	講談社, 	ブルーバックス Ｂ－２０１０	465.8 ﾀｹ  新書書架	ISBN: 9784-065020104 RGTN: 48814 受入日: 20170501
巨大ブラックホールの謎 宇宙最大の「時空の穴」に迫る	本間 希樹／著	講談社, 	ブルーバックス Ｂ－２０１１	443.5 ﾎﾝ  新書書架	ISBN: 9784-065020111 RGTN: 48815 受入日: 20170501
カラー図解Ｊａｖａで始めるプログラミング 知識ゼロからの定番言語「超」入門	高橋 麻奈／著	講談社, 	ブルーバックス Ｂ－２０１２	007.6 ﾀｶ  新書書架	ISBN: 9784-065020128 RGTN: 48816 受入日: 20170501
カラー図解新しい人体の教科書 上	山科 正平／著	講談社, 	ブルーバックス Ｂ－２０１３	491.3 ﾔﾏ 上 新書書架	ISBN: 9784-065020135 RGTN: 48817 受入日: 20170501
家庭教育は誰のもの？ 家庭教育支援法はなぜ問題か	木村 涼子著	岩波書店, 	岩波ブックレット  No. 965	379.9 ｷﾑ  ブックレット	ISBN: 9784-002709659 RGTN: 48818 受入日: 20170615
共謀罪の何が問題か	高山 佳奈子／著	岩波書店, 	岩波ブックレット Ｎｏ．９６６	326.8 ﾀｶ  ブックレット	ISBN: 9784-002709666 RGTN: 48819 受入日: 20170615
中学生になったら	宮下聡 著	岩波書店, 	岩波ジュニア新書 ; 853	376.3 ﾐﾔ  新書書架	ISBN: 9784-005008537 RGTN: 48820 受入日: 20170615
質問する、問い返す 主体的に学ぶということ	名古谷 隆彦／著	岩波書店, 	岩波ジュニア新書 ８５４	002 ﾅｺﾞ  新書書架	ISBN: 9784-005008544 RGTN: 48821 受入日: 20170615
偽りの経済政策 格差と停滞のアベノミクス	服部 茂幸／著	岩波書店, 	岩波新書　新赤版 １６６１	332.1 ﾊｯ  新書書架	ISBN: 9784-004316619 RGTN: 48822 受入日: 20170615
霊長類 消えゆく森の番人	井田 徹治／著	岩波書店, 	岩波新書　新赤版 １６６２	489.9 ｲﾀﾞ  新書書架	ISBN: 9784-004316626 RGTN: 48823 受入日: 20170615
習近平の中国 百年の夢と現実	林 望／著	岩波書店, 	岩波新書　新赤版 １６６３	312.2 ﾊﾔ  新書書架	ISBN: 9784-004316633 RGTN: 48824 受入日: 20170615
鏡が語る古代史	岡村 秀典／著	岩波書店, 	岩波新書　新赤版 １６６４	222 ｵｶ  新書書架	ISBN: 9784-004316640 RGTN: 48825 受入日: 20170615
